ID,Name,Internal Name
418,Iridescent Brick Wall,IridescentBrickWall
419,Mudstone Brick Wall,MudstoneBrickWall
420,Cobalt Brick Wall,CobaltBrickWall
421,Mythril Brick Wall,MythrilBrickWall
422,Holy Water,HolyWater
423,Unholy Water,UnholyWater
424,Silt Block,SiltBlock
425,Fairy Bell,FairyBell
426,Breaker Blade,BreakerBlade
427,Blue Torch,BlueTorch
428,Red Torch,RedTorch
429,Green Torch,GreenTorch
430,Purple Torch,PurpleTorch
431,White Torch,WhiteTorch
432,Yellow Torch,YellowTorch
433,Demon Torch,DemonTorch
434,Clockwork Assault Rifle,ClockworkAssaultRifle
435,Cobalt Repeater,CobaltRepeater
436,Mythril Repeater,MythrilRepeater
437,Dual Hook,DualHook
438,Star Statue,StarStatue
439,Sword Statue,SwordStatue
440,Slime Statue,SlimeStatue
441,Goblin Statue,GoblinStatue
442,Shield Statue,ShieldStatue
443,Bat Statue,BatStatue
444,Fish Statue,FishStatue
445,Bunny Statue,BunnyStatue
446,Skeleton Statue,SkeletonStatue
447,Reaper Statue,ReaperStatue
448,Woman Statue,WomanStatue
449,Imp Statue,ImpStatue
450,Gargoyle Statue,GargoyleStatue
451,Gloom Statue,GloomStatue
452,Hornet Statue,HornetStatue
453,Bomb Statue,BombStatue
454,Crab Statue,CrabStatue
455,Hammer Statue,HammerStatue
456,Potion Statue,PotionStatue
457,Spear Statue,SpearStatue
458,Cross Statue,CrossStatue
459,Jellyfish Statue,JellyfishStatue
460,Bow Statue,BowStatue
461,Boomerang Statue,BoomerangStatue
462,Boot Statue,BootStatue
463,Chest Statue,ChestStatue
464,Bird Statue,BirdStatue
465,Axe Statue,AxeStatue
466,Corrupt Statue,CorruptStatue
467,Tree Statue,TreeStatue
468,Anvil Statue,AnvilStatue
469,Pickaxe Statue,PickaxeStatue
470,Mushroom Statue,MushroomStatue
471,Eyeball Statue,EyeballStatue
472,Pillar Statue,PillarStatue
473,Heart Statue,HeartStatue
474,Pot Statue,PotStatue
475,Sunflower Statue,SunflowerStatue
476,King Statue,KingStatue
477,Queen Statue,QueenStatue
478,Piranha Statue,PiranhaStatue
479,Planked Wall,PlankedWall
480,Wooden Beam,WoodenBeam
481,Adamantite Repeater,AdamantiteRepeater
482,Adamantite Sword,AdamantiteSword
483,Cobalt Sword,CobaltSword
484,Mythril Sword,MythrilSword
485,Moon Charm,MoonCharm
486,Ruler,Ruler
487,Crystal Ball,CrystalBall
488,Disco Ball,DiscoBall
489,Sorcerer Emblem,SorcererEmblem
490,Warrior Emblem,WarriorEmblem
491,Ranger Emblem,RangerEmblem
492,Demon Wings,DemonWings
493,Angel Wings,AngelWings
494,Magical Harp,MagicalHarp
495,Rainbow Rod,RainbowRod
496,Ice Rod,IceRod
497,Neptune's Shell,NeptunesShell
498,Mannequin,Mannequin
499,Greater Healing Potion,GreaterHealingPotion
500,Greater Mana Potion,GreaterManaPotion
501,Pixie Dust,PixieDust
502,Crystal Shard,CrystalShard
503,Clown Hat,ClownHat
504,Clown Shirt,ClownShirt
505,Clown Pants,ClownPants
506,Flamethrower,Flamethrower
507,Bell,Bell
508,Harp,Harp
509,Red Wrench,Wrench
510,Wire Cutter,WireCutter
511,Active Stone Block,ActiveStoneBlock
512,Inactive Stone Block,InactiveStoneBlock
513,Lever,Lever
514,Laser Rifle,LaserRifle
515,Crystal Bullet,CrystalBullet
516,Holy Arrow,HolyArrow
517,Magic Dagger,MagicDagger
518,Crystal Storm,CrystalStorm
519,Cursed Flames,CursedFlames
520,Soul of Light,SoulofLight
521,Soul of Night,SoulofNight
522,Cursed Flame,CursedFlame
523,Cursed Torch,CursedTorch
524,Adamantite Forge,AdamantiteForge
525,Mythril Anvil,MythrilAnvil
526,Unicorn Horn,UnicornHorn
527,Dark Shard,DarkShard
528,Light Shard,LightShard
529,Red Pressure Plate,RedPressurePlate
530,Wire,Wire
531,Spell Tome,SpellTome
532,Star Cloak,StarCloak
533,Megashark,Megashark
534,Shotgun,Shotgun
535,Philosopher's Stone,PhilosophersStone
536,Titan Glove,TitanGlove
537,Cobalt Naginata,CobaltNaginata
538,Switch,Switch
539,Dart Trap,DartTrap
540,Boulder,Boulder
541,Green Pressure Plate,GreenPressurePlate
542,Gray Pressure Plate,GrayPressurePlate
543,Brown Pressure Plate,BrownPressurePlate
544,Mechanical Eye,MechanicalEye
545,Cursed Arrow,CursedArrow
546,Cursed Bullet,CursedBullet
547,Soul of Fright,SoulofFright
548,Soul of Might,SoulofMight
549,Soul of Sight,SoulofSight
550,Gungnir,Gungnir
551,Hallowed Plate Mail,HallowedPlateMail
552,Hallowed Greaves,HallowedGreaves
553,Hallowed Helmet,HallowedHelmet
554,Cross Necklace,CrossNecklace
555,Mana Flower,ManaFlower
556,Mechanical Worm,MechanicalWorm
557,Mechanical Skull,MechanicalSkull
558,Hallowed Headgear,HallowedHeadgear
559,Hallowed Mask,HallowedMask
560,Slime Crown,SlimeCrown
561,Light Disc,LightDisc
562,Music Box (Overworld Day),MusicBoxOverworldDay
563,Music Box (Eerie),MusicBoxEerie
564,Music Box (Night),MusicBoxNight
565,Music Box (Title),MusicBoxTitle
566,Music Box (Underground),MusicBoxUnderground
567,Music Box (Boss 1),MusicBoxBoss1
568,Music Box (Jungle),MusicBoxJungle
569,Music Box (Corruption),MusicBoxCorruption
570,Music Box (Underground Corruption),MusicBoxUndergroundCorruption
571,Music Box (The Hallow),MusicBoxTheHallow
572,Music Box (Boss 2),MusicBoxBoss2
573,Music Box (Underground Hallow),MusicBoxUndergroundHallow
574,Music Box (Boss 3),MusicBoxBoss3
575,Soul of Flight,SoulofFlight
576,Music Box,MusicBox
577,Demonite Brick,DemoniteBrick
578,Hallowed Repeater,HallowedRepeater
579,Drax,Drax
580,Explosives,Explosives
581,Inlet Pump,InletPump
582,Outlet Pump,OutletPump
583,1 Second Timer,Timer1Second
584,3 Second Timer,Timer3Second
585,5 Second Timer,Timer5Second
586,Candy Cane Block,CandyCaneBlock
587,Candy Cane Wall,CandyCaneWall
588,Santa Hat,SantaHat
589,Santa Shirt,SantaShirt
590,Santa Pants,SantaPants
591,Green Candy Cane Block,GreenCandyCaneBlock
592,Green Candy Cane Wall,GreenCandyCaneWall
593,Snow Block,SnowBlock
594,Snow Brick,SnowBrick
595,Snow Brick Wall,SnowBrickWall
596,Blue Light,BlueLight
597,Red Light,RedLight
598,Green Light,GreenLight
599,Blue Present,BluePresent
600,Green Present,GreenPresent
601,Yellow Present,YellowPresent
602,Snow Globe,SnowGlobe
603,Carrot,Carrot
604,Adamantite Beam,AdamantiteBeam
605,Adamantite Beam Wall,AdamantiteBeamWall
606,Demonite Brick Wall,DemoniteBrickWall
607,Sandstone Brick,SandstoneBrick
608,Sandstone Brick Wall,SandstoneBrickWall
609,Ebonstone Brick,EbonstoneBrick
610,Ebonstone Brick Wall,EbonstoneBrickWall
611,Red Stucco,RedStucco
612,Yellow Stucco,YellowStucco
613,Green Stucco,GreenStucco
614,Gray Stucco,GrayStucco
615,Red Stucco Wall,RedStuccoWall
616,Yellow Stucco Wall,YellowStuccoWall
617,Green Stucco Wall,GreenStuccoWall
618,Gray Stucco Wall,GrayStuccoWall
619,Ebonwood,Ebonwood
620,Rich Mahogany,RichMahogany
621,Pearlwood,Pearlwood
622,Ebonwood Wall,EbonwoodWall
623,Rich Mahogany Wall,RichMahoganyWall
624,Pearlwood Wall,PearlwoodWall
625,Ebonwood Chest,EbonwoodChest
626,Rich Mahogany Chest,RichMahoganyChest
627,Pearlwood Chest,PearlwoodChest
628,Ebonwood Chair,EbonwoodChair
629,Rich Mahogany Chair,RichMahoganyChair
630,Pearlwood Chair,PearlwoodChair
631,Ebonwood Platform,EbonwoodPlatform
632,Rich Mahogany Platform,RichMahoganyPlatform
633,Pearlwood Platform,PearlwoodPlatform
634,Bone Platform,BonePlatform
635,Ebonwood Work Bench,EbonwoodWorkBench
636,Rich Mahogany Work Bench,RichMahoganyWorkBench
637,Pearlwood Work Bench,PearlwoodWorkBench
638,Ebonwood Table,EbonwoodTable
639,Rich Mahogany Table,RichMahoganyTable
640,Pearlwood Table,PearlwoodTable
641,Ebonwood Piano,EbonwoodPiano
642,Rich Mahogany Piano,RichMahoganyPiano
643,Pearlwood Piano,PearlwoodPiano
644,Ebonwood Bed,EbonwoodBed
645,Rich Mahogany Bed,RichMahoganyBed
646,Pearlwood Bed,PearlwoodBed
647,Ebonwood Dresser,EbonwoodDresser
648,Rich Mahogany Dresser,RichMahoganyDresser
649,Pearlwood Dresser,PearlwoodDresser
650,Ebonwood Door,EbonwoodDoor
651,Rich Mahogany Door,RichMahoganyDoor
652,Pearlwood Door,PearlwoodDoor
653,Ebonwood Sword,EbonwoodSword
654,Ebonwood Hammer,EbonwoodHammer
655,Ebonwood Bow,EbonwoodBow
656,Rich Mahogany Sword,RichMahoganySword
657,Rich Mahogany Hammer,RichMahoganyHammer
658,Rich Mahogany Bow,RichMahoganyBow
659,Pearlwood Sword,PearlwoodSword
660,Pearlwood Hammer,PearlwoodHammer
661,Pearlwood Bow,PearlwoodBow
662,Rainbow Brick,RainbowBrick
663,Rainbow Brick Wall,RainbowBrickWall
664,Ice Block,IceBlock
665,Red's Wings,RedsWings
666,Red's Helmet,RedsHelmet
667,Red's Breastplate,RedsBreastplate
668,Red's Leggings,RedsLeggings
669,Fish,Fish
670,Ice Boomerang,IceBoomerang
671,Keybrand,Keybrand
672,Cutlass,Cutlass
673,Boreal Wood Work Bench,BorealWoodWorkBench
674,True Excalibur,TrueExcalibur
675,True Night's Edge,TrueNightsEdge
676,Frostbrand,Frostbrand
677,Boreal Wood Table,BorealWoodTable
678,Red Potion,RedPotion
679,Tactical Shotgun,TacticalShotgun
680,Ivy Chest,IvyChest
681,Frozen Chest,IceChest
682,Marrow,Marrow
683,Unholy Trident,UnholyTrident
684,Frost Helmet,FrostHelmet
685,Frost Breastplate,FrostBreastplate
686,Frost Leggings,FrostLeggings
687,Tin Helmet,TinHelmet
688,Tin Chainmail,TinChainmail
689,Tin Greaves,TinGreaves
690,Lead Helmet,LeadHelmet
691,Lead Chainmail,LeadChainmail
692,Lead Greaves,LeadGreaves
693,Tungsten Helmet,TungstenHelmet
694,Tungsten Chainmail,TungstenChainmail
695,Tungsten Greaves,TungstenGreaves
696,Platinum Helmet,PlatinumHelmet
697,Platinum Chainmail,PlatinumChainmail
698,Platinum Greaves,PlatinumGreaves
699,Tin Ore,TinOre
700,Lead Ore,LeadOre
701,Tungsten Ore,TungstenOre
702,Platinum Ore,PlatinumOre
703,Tin Bar,TinBar
704,Lead Bar,LeadBar
705,Tungsten Bar,TungstenBar
706,Platinum Bar,PlatinumBar
707,Tin Watch,TinWatch
708,Tungsten Watch,TungstenWatch
709,Platinum Watch,PlatinumWatch
710,Tin Chandelier,TinChandelier
711,Tungsten Chandelier,TungstenChandelier
712,Platinum Chandelier,PlatinumChandelier
713,Platinum Candle,PlatinumCandle
714,Platinum Candelabra,PlatinumCandelabra
715,Platinum Crown,PlatinumCrown
716,Lead Anvil,LeadAnvil
717,Tin Brick,TinBrick
718,Tungsten Brick,TungstenBrick
719,Platinum Brick,PlatinumBrick
720,Tin Brick Wall,TinBrickWall
721,Tungsten Brick Wall,TungstenBrickWall
722,Platinum Brick Wall,PlatinumBrickWall
723,Beam Sword,BeamSword
724,Ice Blade,IceBlade
725,Ice Bow,IceBow
726,Frost Staff,FrostStaff
727,Wood Helmet,WoodHelmet
728,Wood Breastplate,WoodBreastplate
729,Wood Greaves,WoodGreaves
730,Ebonwood Helmet,EbonwoodHelmet
731,Ebonwood Breastplate,EbonwoodBreastplate
732,Ebonwood Greaves,EbonwoodGreaves
733,Rich Mahogany Helmet,RichMahoganyHelmet
734,Rich Mahogany Breastplate,RichMahoganyBreastplate
735,Rich Mahogany Greaves,RichMahoganyGreaves
736,Pearlwood Helmet,PearlwoodHelmet
737,Pearlwood Breastplate,PearlwoodBreastplate
738,Pearlwood Greaves,PearlwoodGreaves
739,Amethyst Staff,AmethystStaff
740,Topaz Staff,TopazStaff
741,Sapphire Staff,SapphireStaff
742,Emerald Staff,EmeraldStaff
743,Ruby Staff,RubyStaff
744,Diamond Staff,DiamondStaff
745,Grass Wall,GrassWall
746,Jungle Wall,JungleWall
747,Flower Wall,FlowerWall
748,Jetpack,Jetpack
749,Butterfly Wings,ButterflyWings
750,Cactus Wall,CactusWall
751,Cloud,Cloud
752,Cloud Wall,CloudWall
753,Seaweed,Seaweed
754,Rune Hat,RuneHat
755,Rune Robe,RuneRobe
756,Mushroom Spear,MushroomSpear
757,Terra Blade,TerraBlade
758,Grenade Launcher,GrenadeLauncher
759,Rocket Launcher,RocketLauncher
760,Proximity Mine Launcher,ProximityMineLauncher
761,Fairy Wings,FairyWings
762,Slime Block,SlimeBlock
763,Flesh Block,FleshBlock
764,Mushroom Wall,MushroomWall
765,Rain Cloud,RainCloud
766,Bone Block,BoneBlock
767,Frozen Slime Block,FrozenSlimeBlock
768,Bone Block Wall,BoneBlockWall
769,Slime Block Wall,SlimeBlockWall
770,Flesh Block Wall,FleshBlockWall
771,Rocket I,RocketI
772,Rocket II,RocketII
773,Rocket III,RocketIII
774,Rocket IV,RocketIV
775,Asphalt Block,AsphaltBlock
776,Cobalt Pickaxe,CobaltPickaxe
777,Mythril Pickaxe,MythrilPickaxe
778,Adamantite Pickaxe,AdamantitePickaxe
779,Clentaminator,Clentaminator
780,Green Solution,GreenSolution
781,Blue Solution,BlueSolution
782,Purple Solution,PurpleSolution
783,Dark Blue Solution,DarkBlueSolution
784,Red Solution,RedSolution
