name,id,Version,Type,Category,Mod
Artichoke Seeds,HCArtichokesseeds,B41 Beta,Normal,Seeds,Hydrocraft
Asp,HCAsp,B41 Beta,Food,Food Seafood,Hydrocraft
Asparagus,HCAsparagus,B41 Beta,Food,Food Vegetables,Hydrocraft
Asparagus Packet,HCAsparagusseedspacket,B41 Beta,Normal,Seeds,Hydrocraft
Asparagus Seeds,HCAsparagusseeds,B41 Beta,Normal,Seeds,Hydrocraft
Aspergillus Niger,HCPetriaspergilluszoom,B41 Beta,Normal,Microbiology,Hydrocraft
Astrology Textbook,HCBookastrology,B41 Beta,Literature,Books,Hydrocraft
Astronomy Textbook,HCBookastronomy,B41 Beta,Literature,Books,Hydrocraft
Auger,HCAuger,B41 Beta,Normal,Tools,Hydrocraft
Auto Repair Manual,HCBookauto,B41 Beta,Literature,Books,Hydrocraft
Avacado Seeds,HCAvacadoseeds,B41 Beta,Normal,Seeds,Hydrocraft
Avacado Seeds Packet,HCAvacadoseedspacket,B41 Beta,Normal,Seeds,Hydrocraft
Aviator Glasses,Glasses_Aviators,41.1,Clothing,clothing/clothing_others,Classic
Avocado,Avocado,41.1,Food,items_food,Classic
Axe,Axe,41.1,Weapon,items_weapons,Classic
Axe Handle,HCAxehandle,B41 Beta,Normal,Weapons Axes,Hydrocraft
Axe Head,HCAxehead,B41 Beta,Normal,Weapons Axes,Hydrocraft
Azurite,HCAzurite,B41 Beta,Normal,Gems,Hydrocraft
Azurite Powder,HCAzuritepowder,B41 Beta,Normal,Alchemy,Hydrocraft
Baby Bib,HCBabybib1,B41 Beta,Normal,Toys,Hydrocraft
Baby Bib,HCBabybib2,B41 Beta,Normal,Toys,Hydrocraft
Baby Bottle,HCBabybottle,B41 Beta,Normal,Toys,Hydrocraft
Baby Chicken (Female),HCChickenfemalebaby,B41 Beta,Normal,Animals,Hydrocraft
Baby Chicken (Male),HCChickenmalebaby,B41 Beta,Normal,Animals,Hydrocraft
Baby Cow (Female),HCCowfemalebaby,B41 Beta,Normal,Animals,Hydrocraft
Baby Cow (Male),HCCowmalebaby,B41 Beta,Normal,Animals,Hydrocraft
Baby Donkey (Female),HCDonkeyfemalebaby,B41 Beta,Normal,Animals,Hydrocraft
Baby Donkey (Male),HCDonkeymalebaby,B41 Beta,Normal,Animals,Hydrocraft
Baby Food (Applesauce),HCBabyfoodapplesauce,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food (Apricots),HCBabyfoodapricots,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food (Bananas),HCBabyfoodbananas,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food (Beef),HCBabyfoodbeef,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food (Carrots),HCBabyfoodcarrot,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food (Chicken),HCBabyfoodchicken,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food (Cream Corn),HCBabyfoodcreamcorn,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food (Green Beans),HCBabyfoodgreenbeans,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food (Lamb),HCBabyfoodlamb,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food (Peaches),HCBabyfoodpeach,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food (Pears),HCBabyfoodpear,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food (Plums),HCBabyfoodplums,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food (Squash),HCBabyfoodsquash,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food (Sweet Potatoes),HCBabyfoodsweerpotato,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food (Turkey),HCBabyfoodturkey,B41 Beta,Food,Food Baby,Hydrocraft
Baby Food Jar,HCBabyfoodjar,B41 Beta,Normal,Food Baby,Hydrocraft
Baby Goat (Female),HCGoatfemalebaby,B41 Beta,Normal,Animals,Hydrocraft
Baby Goat (Male),HCGoatmalebaby,B41 Beta,Normal,Animals,Hydrocraft
Baby Horse (Female),HCHorsefemalebaby,B41 Beta,Normal,Animals,Hydrocraft
Baby Horse (Male),HCHorsemalebaby,B41 Beta,Normal,Animals,Hydrocraft
Baby Pig (Female),HCPigfemalebaby,B41 Beta,Normal,Animals,Hydrocraft
Baby Pig (Male),HCPigmalebaby,B41 Beta,Normal,Animals,Hydrocraft
Baby Rattle,HCBabyrattle,B41 Beta,Normal,Toys,Hydrocraft
Baby Sheep (Female),HCSheepfemalebaby,B41 Beta,Normal,Animals,Hydrocraft
Baby Sheep (Male),HCSheepmalebaby,B41 Beta,Normal,Animals,Hydrocraft
Baby Teether,HCBabyteether,B41 Beta,Normal,Toys,Hydrocraft
Baby Wipes,HCBabywipes,B41 Beta,Normal,Bathroom,Hydrocraft
Backpack,Bag_SurvivorBag,41.1,Container,clothing/clothing_others,Classic
Backscratcher,HCBackscratcher,B41 Beta,Normal,Tools,Hydrocraft
Backyard Electronics Vol 1,HCMagazineelectronics01,B41 Beta,Literature,Magazines,Hydrocraft
Backyard Electronics Vol 2,HCMagazineelectronics02,B41 Beta,Literature,Magazines,Hydrocraft
Backyard Electronics Vol 3,HCMagazineelectronics03,B41 Beta,Literature,Magazines,Hydrocraft
Bacon,Bacon,41.1,Food,farming,Classic
Bacon Bits,BaconBits,41.1,Food,farming,Classic
Bacon Rashers,BaconRashers,41.1,Food,farming,Classic
Badminton Racket,BadmintonRacket,41.1,Weapon,items_weapons,Classic
Bag of Bird Food,HCBirdfoodbag,B41 Beta,Drainable,Pet,Hydrocraft
Bag of Bone Clay,HCBoneclaybag,B41 Beta,Normal,Pottery,Hydrocraft
Bag of Brownie Cookies,HCCookiesbrowniebag,B41 Beta,Food,Food Cookies,Hydrocraft
Bag of Burger Buns,HCBurgerbunbag,B41 Beta,Food,Food Flour,Hydrocraft
Bag of Chocolate Chip Cookies,HCCookieschocolatechipbag,B41 Beta,Food,Food Cookies,Hydrocraft
Bag of Concrete Powder,ConcretePowder,41.1,Normal,items,Classic
Bag of Corn Tortillas,HCTortillacornbag,B41 Beta,Food,Food Mexican,Hydrocraft
Bag of Crasins,HCDriedcrasinsbag,B41 Beta,Food,Food Dried,Hydrocraft
Bag of Dog Kibble,HCDogkibble,B41 Beta,Drainable,Pet,Hydrocraft
Bag of Dried Apple Slices,HCDriedapplebag,B41 Beta,Food,Food Dried,Hydrocraft
Bag of Dried Banana Chips,HCDriedbananachipsbag,B41 Beta,Food,Food Dried,Hydrocraft
Bag of Dried Berries,HCDriedberriesbag,B41 Beta,Food,Food Dried,Hydrocraft
Bag of Dried Lemon Slices,HCDriedlemonbag,B41 Beta,Food,Food Dried,Hydrocraft
Bag of Dried Lime Slices,HCDriedlimebag,B41 Beta,Food,Food Dried,Hydrocraft
Bag of Dried Orange Slices,HCDriedorangebag,B41 Beta,Food,Food Dried,Hydrocraft
Bag of Dried Peach Slices,HCDriedpeachbag,B41 Beta,Food,Food Dried,Hydrocraft
Bag of Dried Pumpkin Seeds,HCDriedpumpkinseedsbag,B41 Beta,Food,Food Dried,Hydrocraft
Bag of Dried Strawberry Slices,HCDriedstrawberryslicesbag,B41 Beta,Food,Food Dried,Hydrocraft
Bag of Dried Tomatoes,HCDriedtomatobag,B41 Beta,Food,Food Dried,Hydrocraft
Bag of Flour Tortillas,HCTortillaflourbag,B41 Beta,Food,Food Mexican,Hydrocraft
Bag of Grey Clay,HCGreyclaybag,B41 Beta,Normal,Pottery,Hydrocraft
Bag of Kitty Litter,HCCatlitter,B41 Beta,Drainable,Pet,Hydrocraft
Bag of Mint Cookies,HCCookiesmintbag,B41 Beta,Food,Food Cookies,Hydrocraft
Bag of Plaster Powder,PlasterPowder,41.1,Normal,items,Classic
Bag of Potato Flour,HCPotatoflour,B41 Beta,Drainable,Food Taters,Hydrocraft
Bag of Pumpkin Seeds,HCPumpkinseedsnack,B41 Beta,Food,Food Snacks,Hydrocraft
Bag of Rasins,HCDriedrasinsbag,B41 Beta,Food,Food Dried,Hydrocraft
Bag of Red Clay,HCRedclaybag,B41 Beta,Normal,Pottery,Hydrocraft
Bag of Sunflower Seeds,HCSunflowerseedsnack,B41 Beta,Food,Food Snacks,Hydrocraft
Bag of Tortilla Chips,HCTortillachipsbag,B41 Beta,Food,Food Mexican,Hydrocraft
Bagel,BagelPlain,41.1,Food,items_food,Classic
Bagged Wheat Bread Loaf,HCBreadloafbag,B41 Beta,Food,Food Flour,Hydrocraft
Bagged Wheat Bread Loaf,HCBreadwheatloafbag,B41 Beta,Food,Food Flour,Hydrocraft
Baggy Jeans,Trousers_JeanBaggy,41.1,Clothing,clothing/clothing_pants,Classic
Baguette,Baguette,41.1,Food,items_food,Classic
Baguette,HCBaquette,B41 Beta,Food,Food Flour,Hydrocraft
Baked Croissant,HCCroissantbaked,B41 Beta,Food,Food Flour,Hydrocraft
Baked English Muffin,HCEnglishmuffinbaked,B41 Beta,Food,Food Flour,Hydrocraft
Baked Garlic Bread,HCGarlicbreadbaked,B41 Beta,Food,Food Flour,Hydrocraft
Baked Potato,HCBakedpotato,B41 Beta,Food,Food Taters,Hydrocraft
Baking Cookbook,HCBookbaking,B41 Beta,Literature,Cookbooks,Hydrocraft
Baking Pan,BakingPan,41.1,Normal,newitems,Classic
Baking Pan with Homemade Pancake,HCPancakeshomemadepan,B41 Beta,Food,Food Flour,Hydrocraft
Baking Soda,BakingSoda,41.1,Drainable,newitems,Classic
Baking Tray,BakingTray,41.1,Normal,items,Classic
Baking Tray with Bread,BakingTrayBread,41.1,Food,items_food,Classic
Bakingtray with Blue Meth,HCBluemethtray,B41 Beta,Normal,Drugs Meth,Hydrocraft
Balaclava,Hat_BalaclavaFull,41.1,Clothing,clothing/clothing_hats,Classic
Bale of Straw,HCStrawbale,B41 Beta,Normal,Tailoring,Hydrocraft
Ball Peen Hammer,BallPeenHammer,41.1,Weapon,items_weapons,Classic
Baloney,Baloney,41.1,Food,items_food,Classic
Balsa Glider,HCToyglider,B41 Beta,Normal,Toys,Hydrocraft
Bamboo,HCBamboo,B41 Beta,Normal,Herbalism,Hydrocraft
Bamboo Arm Guards,HCArmarmorbamboo,B41 Beta,Normal,Armor,Hydrocraft
Bamboo Armor,HCArmorbamboo,B41 Beta,Normal,Armor,Hydrocraft
Bamboo Gutter,HCBamboogutter,B41 Beta,Normal,Herbalism,Hydrocraft
Bamboo Packet,HCBambooseedspacket,B41 Beta,Normal,Seeds,Hydrocraft
Bamboo Seeds,HCBambooseeds,B41 Beta,Normal,Seeds,Hydrocraft
Banana,Banana,41.1,Food,items_food,Classic
Banana Seeds,HCBananaseeds,B41 Beta,Normal,Seeds,Hydrocraft
Banana Seeds Packet,HCBananaseedspacket,B41 Beta,Normal,Seeds,Hydrocraft
Bandage,Bandage,41.1,Normal,newitems,Classic
Bandage Doused in Potassium Permanganate,HCBandagepp,B41 Beta,Normal,Medical,Hydrocraft
Bandage with Herbal Medicine,HCBandageherb,B41 Beta,Normal,Medical,Hydrocraft
Bandana (Face),Hat_BandanaMask,41.1,Clothing,clothing/clothing_hats,Classic
Bandana (Face),Hat_BandanaMaskTINT,41.1,Clothing,clothing/clothing_hats,Classic
Bandana (Head),Hat_Bandana,41.1,Clothing,clothing/clothing_hats,Classic
Bandana (Head),Hat_BandanaTINT,41.1,Clothing,clothing/clothing_hats,Classic
Bandana (Tied),Hat_BandanaTied,41.1,Clothing,clothing/clothing_hats,Classic
Bandana (Tied),Hat_BandanaTiedTINT,41.1,Clothing,clothing/clothing_hats,Classic
Bandeau,BoobTube,41.1,Clothing,clothing/clothing_shirts,Classic
Banged-Up Canned Food,HCCanbangedup,B41 Beta,Food,Food Canned,Hydrocraft
Banjo,Banjo,41.1,Weapon,items_weapons,Classic
Banjo,HCBanjo,B41 Beta,Normal,Music,Hydrocraft
