itemName,shortdescription,description,price,category
rarespear,Rare Spear,This spear is perfect for enemies just out of reach.,1080,spear
uncommonspear,Uncommon Spear,This spear is perfect for enemies just out of reach.,990,spear
durasteelassaultrifle,Durasteel Assault Rifle,A fully automatic military grade rifle.,960,assaultRifle
durasteelrevolver,Durasteel Revolver,A large handgun that packs a punch.,640,pistol
ironassaultrifle,Iron Assault Rifle,A fully automatic military grade rifle.,960,assaultRifle
ironrevolver,Iron Revolver,A large handgun that packs a punch.,640,pistol
titaniummachinepistol,Titanium Machine Pistol,A large handgun that packs a kick.,480,machinePistol
titaniumsniperrifle,Titanium Sniper Rifle,Powerfully strong to cover long distances.,960,sniperRifle
tungstenmagnum,Tungsten Magnum,A large handgun that packs a punch.,640,pistol
tungstenshotgun,Tungsten Shotgun,Fires a spread that's lethal at close range.,960,shotgun
npcassaultrifle,NPC Assault Rifle,"A fully automatic, military grade rifle.",0,assaultRifle
npcavianbroadsword,NPC Macuahuitl,A powerful two-handed sword.,0,broadsword
npcaxe,NPC Axe,Designed for effective chopping.,0,axe
npcbow,NPC Bow,Harvests meat and other goods from monsters.,0,bow
npcbroadsword,NPC Broadsword,A powerful two-handed sword.,0,broadsword
npcbruisersword,NPC Bruiser's Broadsword,This thing is massive!,0,broadsword
npccultistbroadsword,NPC Cultist Broadsword,A powerful two-handed sword.,0,broadsword
npccultistshortsword,NPC Cultist Shortsword,A shortsword that belonged to a cultist.,0,shortsword
npcdagger,NPC Dagger,Razor sharp and lightning quick.,0,dagger
npcdeadbeatassaultrifle,NPC Deadbeat Assault Rifle,A rusty military grade rifle.,0,assaultRifle
npcdeadbeataxe,NPC Deadbeat Axe,A basic looking axe with a crooked handle.,0,axe
npceyesword,NPC Oculus Reaver,Seeing from the sword's eye is disorienting at first.,0,broadsword
npcfeneroxspear,NPC Fenerox Spear,This spear is perfect for enemies just out of reach.,0,spear
npcfirebow,NPC Fire Bow,Harvests meat and other goods from monsters.,0,bow
npcfloranassaultrifle,NPC Floran Assault Rifle,An automatic rifle made of organic material.,0,assaultRifle
npchammer,NPC Hammer,"Slow, heavy and effective.",0,hammer
npcshortsword,NPC Shortsword,A sturdy one-handed sword.,0,shortsword
npcspear,NPC Spear,This spear is perfect for enemies just out of reach.,0,spear
npctungstenbow,NPC Tungsten Bow,Harvests meat and other goods from monsters.,0,bow
npcwrench,NPC Wrench,"Delivers a hefty whack, perfect for beating disobedient machinery into order.",0,uniqueWeapon
adaptablecrossbow,Adaptable Crossbow,Launches interchangeable bolts by magnetic force.,1500,uniqueWeapon
chargegun,Charge Gun,Bad things are unleashed upon those who wait.,1500,uniqueWeapon
electricrailgun,Tesla's Wrath,Powerfully strong to cover long distances.,1500,sniperRifle
evileye,Evil Eye,I think it's looking at me.,1500,uniqueWeapon
exmachina,Ex Machina,Serial No: 0451,1500,rocketLauncher
eyesword,Oculus Reaver,Seeing from the sword's eye is disorienting at first.,1500,broadsword
fireworkgun,Zephyr Spark Launcher,"Yes, it shoots fireworks!",1500,rocketLauncher
flamingdemonsword,Firestorm's Fury,"According to legend, this flaming blade was forged by fallen angels.",1500,broadsword
gristlegun,Cartilage Gun,This pistol generates its own natural ammo. Ew.,1000,pistol
magnorbs,Magnorbs,Specialized magnetic bracers for throwing and catching specially designed orbs.,5000,uniqueWeapon
nurusspear,Nuru's Spear,This belongs to Nuru. How did you get this?,0,spear
nurusspearmelee,Nuru's Spear,A spear made for keeping enemies at bay.,0,spear
remotegrenadelauncher,Remote Grenade Launcher,Fires grenades that can be manually triggered to explode.,1500,grenadeLauncher
soulseeker,Soulseeker,"A sword of extraordinary dark power, once used by a powerful soul.",1200,broadsword
tentaclegun,Alien Appendage,A horrifying hybrid of flesh and steel.,1000,uniqueWeapon
wormgun,Alien Worm Gun,This gun contains a squirming mass of mutated alien worms.,1500,uniqueWeapon
brokenprotectoratebroadsword,Broken Broadsword,A very nice sword in very poor condition.,500,broadsword
durasteelbroadsword,Durasteel Broadsword,A blade forged from solid durasteel. Few metals are stronger.,960,broadsword
durasteelshortsword,Durasteel Shortsword,This shortsword is forged from solid durasteel.,480,shortsword
ironbroadsword,Iron Broadsword,It's a crudely fashioned broadsword.,960,broadsword
ironshortsword,Iron Shortsword,Doesn't feel so short to enemies.,480,shortsword
titaniumdagger,Titanium Dagger,"This dagger is light, but incredibly durable.",320,dagger
titaniumspear,Titanium Spear,A spear made for keeping enemies at bay.,960,spear
tungstenaxe,Tungsten Axe,This axe is surprisingly hefty for its size.,480,axe
tungstenhammer,Tungsten Hammer,"Heavy, but hard-hitting.",960,hammer
aegisaltbow,Aegisalt Bow,The traditional weapon for hunting Laser Deer.,960,bow
aegisaltpistol,Aegisalt Pistol,Emits a continuous beam of pure destructive energy.,640,pistol
feroziumstaff,Ferozium Staff,This hardened ferozium staff concentrates energy at an impressive distance.,1440,staff
feroziumwand,Ferozium Wand,"What is this, a staff for ants?",960,wand
protectoratebroadsword,Protector's Broadsword,A powerful experimental weapon designed by the Terrene Protectorate.,1250,broadsword
violiumbroadsword,Violium Broadsword,This hardened violium hilt houses the projector for a wicked energy blade.,960,broadsword
violiumshortsword,Violium Shortsword,This violium hilt houses the projector for a wicked energy blade.,480,shortsword
commonassaultrifle,Common Assault Rifle,"A fully automatic, military grade rifle.",900,assaultRifle
rareassaultrifle,Rare Assault Rifle,"A fully automatic, military grade rifle.",1080,assaultRifle
uncommonassaultrifle,Uncommon Assault Rifle,"A fully automatic, military grade rifle.",990,assaultRifle
flamethrower,Flamethrower,"Love the smell of napalm, any time of day.",1500,uniqueWeapon
commongrenadelauncher,Common Grenade Launcher,For when your grenades need some distance.,880,grenadeLauncher
raregrenadelauncher,Rare Grenade Launcher,For when your grenades need some distance.,960,grenadeLauncher
uncommongrenadelauncher,Uncommon Grenade Launcher,For when your grenades need some distance.,880,grenadeLauncher
commonmachinepistol,Common Machine Pistol,A small fully automatic pistol.,600,machinePistol
raremachinepistol,Rare Machine Pistol,A small fully automatic pistol.,720,machinePistol
uncommonmachinepistol,Uncommon Machine Pistol,A small fully automatic pistol.,660,machinePistol
commonpistol,Common Pistol,A small handgun.,600,pistol
rarepistol,Rare Pistol,A small handgun.,720,pistol
uncommonpistol,Uncommon Pistol,A small handgun.,660,pistol
commonrocketlauncher,Common Rocket Launcher,The power to blow stuff up.,1200,rocketLauncher
rarerocketlauncher,Rare Rocket Launcher,The power to blow stuff up.,1440,rocketLauncher
uncommonrocketlauncher,Uncommon Rocket Launcher,The power to blow stuff up.,1320,rocketLauncher
commonshotgun,Common Shotgun,Fires a spread that's lethal at close range.,900,shotgun
rareshotgun,Rare Shotgun,Fires a spread that's lethal at close range.,1080,shotgun
uncommonshotgun,Uncommon Shotgun,Fires a spread that's lethal at close range.,990,shotgun
commonsniperrifle,Common Sniper Rifle,Powerfully strong to cover long distances.,900,sniperRifle
raresniperrifle,Rare Sniper Rifle,Powerfully strong to cover long distances.,1080,sniperRifle
uncommonsniperrifle,Uncommon Sniper Rifle,Powerfully strong to cover long distances.,990,sniperRifle
bubblegun,Bubble Blaster,A bubble gun! It shoots bubbles! Wheeeee!,500,toy
paintgunblue,Blue Paintgun,Why wait for a blue moon when you can make one yourself?,500,toy
paintgungreen,Green Paintgun,This paintgun will make others green with envy.,500,toy
paintgunorange,Orange Paintgun,For shooting anyone who says nothing rhymes with orange.,500,toy
paintgunpurple,Purple Paintgun,This gun makes it rain purple.,500,toy
paintgunred,Red Paintgun,Paint the town red!,500,toy
paintgunyellow,Yellow Paintgun,Makes it clear how yellow your targets are.,500,toy
snowgun,Snowball Shooter,"Powered by snow, it's fully automatic and keeps your gloves dry.",750,toy
watergun,Squirt Gun,Pump action pressurises the water in this plastic gun.,250,toy
rarestaff,Rare Staff,Sufficiently Advanced Technology.,1440,staff
teslastaff,Tesla's Staff,Controls powerful lightning bolts by creating ionized trails through the air.,1440,staff
rarewand,Rare Wand,Sufficiently Advanced Technology.,960,wand
energywhip,Lucaine's Energy Whip,A whip made from pure energy. Get cracking!,1500,whip
intestinewhip,Intestine Whip,"A large intestine, it can stretch surprisingly far.",1000,whip
ropewhip,Rope Whip,A rope fashioned into a whip. Get cracking!,1000,whip
vinewhip,Vine Whip,A whip made from a thorny vine. Get cracking!,1000,whip
parachutepackback,Parachute,A parachute. No more freefalling!-NOT USED-,5000,backwear
darkhead,Dark Mask,The material in this mask is expelling pure darkness.,0,headwear
darklegs,Dark Trousers,These trousers brim with dark energy.,0,legwear
darkchest,Dark Shirt,This shirt wraps a dark void around the wearer.,0,chestwear
darkguardhead,Dark Guard Mask,The material in this mask is expelling pure darkness.,0,headwear
armoredcultistback,Armoured Cultist Tentacles,A harness with artificial tentacles attached.,0,backwear
caretakerback,Caretaker Tentacles,A caretaker's decorative tentacles.,0,backwear
damageaugment1,Damage I Augment,An EPP module that slightly boosts your damage output.,5000,eppAugment
damageaugment2,Damage II Augment,An EPP module that boosts your damage output.,10000,eppAugment
damageaugment3,Damage III Augment,An EPP module that significantly boosts your damage output.,15000,eppAugment
electricblockaugment,Electric Resist Augment,An EPP module that makes you highly resistant to electricity.,10000,eppAugment
energyaugment1,Energy I Augment,An EPP module that boosts your total energy a little.,5000,eppAugment
energyaugment2,Energy II Augment,An EPP module that boosts your total energy.,10000,eppAugment
energyaugment3,Energy III Augment,An EPP module that boosts your total energy greatly.,15000,eppAugment
fireblockaugment,Fire Resist Augment,An EPP module that makes you highly resistant to fire.,10000,eppAugment
gravityaugment,Gravity Augment,"An EPP module that manipulates gravity, slowing your descent in the air.",10000,eppAugment
healingaugment1,Healing I Augment,An EPP module that slowly restores your health over time.,5000,eppAugment
healingaugment2,Healing II Augment,An EPP module that restores your health over time.,10000,eppAugment
healingaugment3,Healing III Augment,An EPP module that rapidly restores your health over time.,15000,eppAugment
healthaugment1,Health I Augment,An EPP module that boosts your total health a little.,5000,eppAugment
healthaugment2,Health II Augment,An EPP module that boosts your total health.,10000,eppAugment
healthaugment3,Health III Augment,An EPP module that boosts your total health greatly.,15000,eppAugment
iceblockaugment,Ice Resist Augment,An EPP module that makes you highly resistant to ice.,10000,eppAugment
jumpaugment,Jump Augment,An EPP module that boosts your jumping power.,10000,eppAugment
lightaugment1,Light I Augment,An EPP module that enables a survival pack to emit a faint light.,2500,eppAugment
lightaugment2,Light II Augment,An EPP module that enables a survival pack to emit light.,5000,eppAugment
lightaugment3,Light III Augment,An EPP module that enables a survival pack to emit a strong light.,7500,eppAugment
mobilityaugment,Mobility Augment,An EPP module that boosts your movement speed and jumping power.,25000,eppAugment
poisonblockaugment,Poison Resist Augment,An EPP module that makes you highly resistant to poison.,10000,eppAugment
speedaugment,Speed Augment,An EPP module that boosts your movement speed.,10000,eppAugment
swimaugment,Swimming Augment,A pluggable EPP module that boosts your mobility when swimming.,10000,eppAugment
thornsaugment,Thorns Augment,An EPP module that can reflect damage back at nearby enemies.,15000,eppAugment
fishinglurecontrol,Motorized Lure,A lure with internal gyros for better control.,500,fishingLure
fishinglurelight,Illuminated Lure,A lure with a bright internal light for night fishing.,500,fishingLure
fishingluresinking,Sinking Lure,A heavy lure that sinks quickly.,500,fishingLure
fishingreelfast,High Speed Reel,A reel that winds faster when not under load.,500,fishingReel
fishingreellong,High Capacity Reel,A reel with a larger spool for a longer line.,500,fishingReel
fishingreelstrong,High Tension Reel,A heavy reel with high-test line that won't break as easily.,500,fishingReel
bouncycollar,Bouncy Collar,A collar that makes your pet unnecessarily bouncy.,2500,petCollar
damagecollar1,Damage I Collar,A collar that slightly boosts your pet's damage output.,2500,petCollar
damagecollar2,Damage II Collar,A collar that boosts your pet's damage output.,5000,petCollar
damagecollar3,Damage III Collar,A collar that significantly boosts your pet's damage output.,7500,petCollar
electricbombcollar,Electric Bomb Collar,A collar that causes your pet to explode when they're defeated.,2500,petCollar
firebombcollar,Fire Bomb Collar,A collar that causes your pet to explode when they're defeated.,2500,petCollar
ghostlycollar,Ghostly Collar,A collar that gives your pet a ghostly visage.,7500,petCollar
healingcollar1,Healing I Collar,A collar that slowly restores your pet's health over time.,2500,petCollar
healingcollar2,Healing II Collar,A collar that restores your pet's health over time.,5000,petCollar
healingcollar3,Healing III Collar,A collar that rapidly restores your pet's health over time.,7500,petCollar
healthcollar1,Health I Collar,A collar that slightly boosts your pet's total health.,2500,petCollar
healthcollar2,Health II Collar,A collar that boosts your pet's total health.,5000,petCollar
healthcollar3,Health III Collar,A collar that significantly boosts your pet's total health.,7500,petCollar
icebombcollar,Ice Bomb Collar,A collar that causes your pet to explode when they're defeated.,2500,petCollar
lightcollar,Light Collar,A collar that emits light.,2500,petCollar
obliviouscollar,Oblivious Collar,A collar that pacifies your pet.,2500,petCollar
poisonbombcollar,Poison Bomb Collar,A collar that causes your pet to explode when they're defeated.,2500,petCollar
money,Pixels,Pixels are a universal currency. They can also be used for 3D Printing.,,
alpacafossil1,Alpaca Skull,A fossilised Alpaca skull.,50,mediumFossil
alpacafossil2,Alpaca Torso,A fossilised Alpaca torso.,0,mediumFossil
alpacafossil3,Alpaca Legs,A fossilised pair of Alpaca legs.,0,mediumFossil
apexfossil1,Apex Skull,A fossilised Apex skull.,50,mediumFossil
apexfossil2,Apex Torso,A fossilised Apex torso.,0,mediumFossil
apexfossil3,Apex Legs,A fossilised pair of Apex legs.,0,mediumFossil
avianfossil1,Avian Skull,A fossilised Avian skull.,50,mediumFossil
avianfossil2,Avian Torso,A fossilised Avian torso.,0,mediumFossil
avianfossil3,Avian Legs,A fossilised pair of Avian legs.,0,mediumFossil
avioscalefossil1,Avioscale Skull,A fossilised Avioscale skull.,50,mediumFossil
avioscalefossil2,Avioscale Torso,A fossilised Avioscale torso.,0,mediumFossil
avioscalefossil3,Avioscale Legs,A fossilised pair of Avioscale legs.,0,mediumFossil
floranfossil1,Floran Skull,A fossilised Floran skull.,50,mediumFossil
floranfossil2,Floran Torso,A fossilised Floran torso,0,mediumFossil
floranfossil3,Floran Legs,A fossilised pair of Floran legs,0,mediumFossil
froggfossil1,Frogg Skull,A fossilised Frogg skull.,50,mediumFossil
froggfossil2,Frogg Torso,A fossilised Frogg torso.,0,mediumFossil
froggfossil3,Frogg Legs,A fossilised pair of Frogg legs.,0,mediumFossil
glitchfossil1,Glitch Head,A corroded Glitch head.,50,mediumFossil
glitchfossil2,Glitch Torso,A corroded Glitch torso.,0,mediumFossil
glitchfossil3,Glitch Legs,A corroded pair of Glitch legs.,0,mediumFossil
humanfossil1,Human Skull,A fossilised human skull.,50,mediumFossil
humanfossil2,Human Torso,A fossilised human torso.,0,mediumFossil
humanfossil3,Human Legs,A fossilised pair of human legs.,0,mediumFossil
hylotlfossil1,Hylotl Skull,A fossilised Hylotl skull.,50,mediumFossil
hylotlfossil2,Hylotl Torso,A fossilised Hylotl torso.,0,mediumFossil
hylotlfossil3,Hylotl Legs,A fossilised pair of Hylotl legs.,0,mediumFossil
mysteriousfossil1,Unidentified Skull,A fossilised skull from an unknown creature.,50,mediumFossil
mysteriousfossil2,Unidentified Torso,An unidentified fossilised torso.,0,mediumFossil
mysteriousfossil3,Unidentified Legs,An unidentified pair of fossilised legs.,0,mediumFossil
ixodoomfossil1,Ixodoom Skull,A fossilised Ixodoom skull.,200,largeFossil
ixodoomfossil2,Ixodoom Torso,A fossilised Ixodoom torso.,200,largeFossil
ixodoomfossil3,Ixodoom Spine,A fossilised Ixodoom spine.,200,largeFossil
ixodoomfossil4,Ixodoom Hips,Fossilised Ixodoom hips.,200,largeFossil
ixodoomfossil5,Ixodoom Stinger,A fossilised Ixodoom stinger.,200,largeFossil
ophidauntfossil1,Ophidaunt Skull;,A fossilised Ophidaunt skull.,200,largeFossil
ophidauntfossil2,Ophidaunt Torso,A fossilised Ophidaunt torso.,200,largeFossil
ophidauntfossil3,Ophidaunt Upper Tail,A fossilised Ophidaunt upper tail.,200,largeFossil
ophidauntfossil4,Ophidaunt Mid Tail,A fossilised Ophidaunt mid tail.,200,largeFossil
ophidauntfossil5,Ophidaunt Lower Tail,A fossilised Ophidaunt lower tail.,200,largeFossil
trexfossil1,T-Rex Skull,A fossilised T-Rex skull.,200,largeFossil
trexfossil2,T-Rex Torso,A fossilised T-Rex torso.,0,largeFossil
trexfossil3,T-Rex Legs,Fossilised T-Rex legs and hips.,0,largeFossil
trexfossil4,T-Rex Upper Tail;,A fossilised T-Rex tail fragment.,0,largeFossil
trexfossil5,T-Rex Lower Tail,A fossilised T-Rex tail tip.,0,largeFossil
amberfossil,Amber,A fossilised piece of amber.,75,smallFossil
ammonitefossil,Ammonite,A fossilised ammonite.,75,smallFossil
eggfossil,Egg Fossil,Fossilised egg.,75,smallFossil
fernfossil,Fern Fossil,A fossilised fern.,75,smallFossil
fishfossil,Fish Fossil,A fossilised fish.,75,smallFossil
mysteriousalienfossil,Mysterious Alien Skull,The fossilised skull of an unidentified life-form.,75,smallFossil
penguinfossil,Penguin Fossil,A fossilised penguin skeleton.,75,smallFossil
sabertoothfossil,Sabertooth Skull,A fossilised sabertooth skull.,75,smallFossil
trackfossil,Footprint Fossil,A fossilised animal footprint.,75,smallFossil
trilobitefossil,Trilobite,A fossilised trilobite.,75,smallFossil
aegisaltore,Aegisalt Ore,Aegisalt ore. Can be used for smelting.,60,craftingMaterial
alienweirdwood,Alien Weird Wood,A weird type of alien wood.,3,craftingMaterial
alienwoodsap,Alien Wood Sap,"This sap came from alien wood, it's looks dangerous.",0,craftingMaterial
ancientbones,Ancient Bones,These large bones are old. Very old.,0,craftingMaterial
artificialbrain,Artificial Brain,"An enhanced brain, perfect for transplanting.",0,craftingMaterial
basic,Pelt,It's the pelt of an animal.,0,craftingMaterial
battery,Battery,"This battery can be used to power hi-tech stations, weapons and wearables!",500,craftingMaterial
biosample,Bio Sample,A sample of novel biological compounds and genetic information.,4,craftingMaterial
bolt,Bolt,A small metal bolt.,0,craftingMaterial
bone,Bone,It's a bone.,1,craftingMaterial
bottle,Empty Bottle,Perfect for storing liquids.,10,craftingMaterial
brain,Superior Brain,This brain looks to be perfect for experimentation.,0,craftingMaterial
bugshell,Bug Shell,"The old, withered shell of some long-dead insect.",0,craftingMaterial
canvas,Canvas,A square of high-quality canvas.,150,craftingMaterial
cellmateria,Cell Materia,"Cell Materia, I hear you can use this to craft things.",0,craftingMaterial
cellmatter,Cell Matter,Cell Matter - it can be used this to craft unspeakable things.,0,craftingMaterial
coalore,Coal,It's coal. A decent source of fuel.,2,craftingMaterial
cog,Copper Cog,It's a cog.,20,craftingMaterial
copperbar,Copper Bar,Ore for copper bars is found at shallow depths on most planets around all stars.,20,craftingMaterial
copperore,Copper Ore,Copper ore. Can be used for smelting.,10,craftingMaterial
coralfragment,Ember Coral Fragment,It radiates a pleasant warmth.,0,craftingMaterial
corefragmentore,Core Fragment,These naturally occurring crystals produce energy.,20,craftingMaterial
cotton,Cotton Fibre,A tuft of natural cotton fibre.,10,craftingMaterial
cottonwool,Cotton Wool,A roll of processed cotton.,40,craftingMaterial
crystal,Crystal,Shiny crystal.,5,craftingMaterial
diamond,Diamond,It's a beautifully cut diamond.,1200,craftingMaterial
dragonbone,Dragon Bone,"A dragon bone, it's hot to the touch. The heat never dies.",0,craftingMaterial
durasteelbar,Durasteel Bar,Ore for durasteel bars is primarily found on planets orbiting radioactive stars.,100,craftingMaterial
durasteelore,Durasteel Ore,Durasteel ore. Can be used for smelting.,50,craftingMaterial
endomorphicjelly,Endomorphic Jelly,A strange jelly that seems to react to touch.,10,craftingMaterial
fabric,Woven Fabric,A small square of woven fabric.,10,craftingMaterial
feroziumore,Ferozium Ore,Ferozium ore. Can be used for smelting.,60,craftingMaterial
fillerup,Fill 'Er Up,Fills up your ship's fuel,0,craftingMaterial
firedclay,Fired Clay,Clay cooked into a solid brick.,1,craftingMaterial
fleshstrand,Flesh Strand,"A long, sinewy strand of flesh.",0,craftingMaterial
fossilore,Unidentified Fossil,It's a fossil. I wonder what kind it is.,0,craftingMaterial
giantflowerpetal,Giant Flower Petal,A giant flower petal. Soft!,0,craftingMaterial
glass,Glass,A pane of glass used for crafting.,3,craftingMaterial
glasscoffeemug,Glass Coffee Mug,A coffee mug made of glass.,5,craftingMaterial
glowfibre,Glow Fibre,"Bulbous, bioluminescent plant fibres. They glow with many colours!",0,craftingMaterial
gnome,Gnome,It's a gnome.,0,craftingMaterial
goldbar,Gold Bar,Ore for gold bars is found at great depths on most planets around all stars.,40,craftingMaterial
goldore,Gold Ore,It's some gold ore. Can be used for smelting.,20,craftingMaterial
greenslime,Slime Blob,A blob of green slime.,0,craftingMaterial
hinge,Iron Hinge,It is an iron hinge.,10,craftingMaterial
holidayspirit,Holiday Spirit,"The essence of the holiday season, in its purest form!",0,craftingMaterial
icecrystal,Ice Crystal,"A cold ice crystal, it never seems to thaw.",5,craftingMaterial
