name,id,type
Nitrogen dioxide gas,gas-nitrogen-dioxide,fluid
Dinitrogen tetroxide gas,gas-dinitrogen-tetroxide,fluid
Ammonium chloride gas,gas-ammonium-chloride,fluid
Urea gas,gas-urea,fluid
Melamine gas,gas-melamine,fluid
Nitric acid,liquid-nitric-acid,fluid
Monochloramine gas,gas-monochloramine,fluid
Hydrazine gas,gas-hydrazine,fluid
Methylamine gas,gas-methylamine,fluid
Dimethylamine gas,gas-dimethylamine,fluid
Dimethylhydrazine gas,gas-dimethylhydrazine,fluid
Sulfuric and Nitric acid mixture,sulfuric-nitric-acid,fluid
Nitroglycerin,nitroglycerin,fluid
Hydrogen sulfide gas,gas-hydrogen-sulfide,fluid
Enriched hydrogen sulfide gas,gas-enriched-hydrogen-sulfide,fluid
Sulfur dioxide gas,gas-sulfur-dioxide,fluid
Sulfuric acid,liquid-sulfuric-acid,fluid
Acid gas,gas-acid,fluid
Hydrogen fluoride gas,gas-hydrogen-fluoride,fluid
Hydrofluoric acid,liquid-hydrofluoric-acid,fluid
Natural gas,gas-natural-1,fluid
Raw gas,gas-raw-1,fluid
Natural gas liquids,liquid-ngl,fluid
Multi-phase oil,liquid-multi-phase-oil,fluid
Crude oil,crude-oil,fluid
Gas condensates,liquid-condensates,fluid
Residual gas,gas-residual,fluid
Methane gas,gas-methane,fluid
Ethane gas,gas-ethane,fluid
Butane gas,gas-butane,fluid
Propene gas,gas-propene,fluid
Methanol gas,gas-methanol,fluid
Ethylene gas,gas-ethylene,fluid
Benzene gas,gas-benzene,fluid
Fuel oil,liquid-fuel-oil,fluid
Liquid fuel,liquid-fuel,fluid
Naphtha,liquid-naphtha,fluid
Base mineral oil,liquid-mineral-oil,fluid
Lubricant,lubricant,fluid
Synthesis gas,gas-synthesis,fluid
Toluene liquid,liquid-toluene,fluid
Butadiene gas,gas-butadiene,fluid
Phenol liquid,liquid-phenol,fluid
Ethylbenzene liquid,liquid-ethylbenzene,fluid
Styrene liquid,liquid-styrene,fluid
Formaldehyde gas,gas-formaldehyde,fluid
Polyethylene liquid,liquid-polyethylene,fluid
Glycerol liquid,liquid-glycerol,fluid
Bisphenol A liquid,liquid-bisphenol-a,fluid
Acetone gas,gas-acetone,fluid
Ethylene oxide,gas-ethylene-oxide,fluid
Ethylene carbonate,liquid-ethylene-carbonate,fluid
Liquid plastic,liquid-plastic,fluid
Liquid resin,liquid-resin,fluid
Liquid rubber,liquid-rubber,fluid
Ferric chloride solution,ferric-chloride-solution,fluid
Tungstic acid,tungstic-acid,fluid
Heavy water,heavy-water,fluid
Pure water,pure-water,fluid
Compressed air,liquid-air,fluid
Oxygen,oxygen,fluid
Hydrogen peroxide,hydrogen-peroxide,fluid
Carbon dioxide,carbon-dioxide,fluid
Hydrogen,hydrogen,fluid
Deuterium,deuterium,fluid
Chlorine,chlorine,fluid
Hydrogen chloride,hydrogen-chloride,fluid
Nitrogen,nitrogen,fluid
Ammonia,ammonia,fluid
Nitric oxide,nitric-oxide,fluid
Nitrogen dioxide,nitrogen-dioxide,fluid
Dinitrogen tetroxide,dinitrogen-tetroxide,fluid
Nitric acid,nitric-acid,fluid
Hydrazine,hydrazine,fluid
Hydrogen sulfide,hydrogen-sulfide,fluid
Sulfur dioxide,sulfur-dioxide,fluid
Sulfuric acid,sulfuric-acid,fluid
Petroleum gas,petroleum-gas,fluid
Light oil,light-oil,fluid
Heavy oil,heavy-oil,fluid
Glycerol,glycerol,fluid
Pulping liquor,liquid-pulping-liquor,fluid
Brown liquor,liquid-brown-liquor,fluid
White liquor,liquid-white-liquor,fluid
Black liquor,liquid-black-liquor,fluid
Green liquor,liquid-green-liquor,fluid
Nutrient pulp,liquid-nutrient-pulp,fluid
Raw vegetable oil,liquid-raw-vegetable-oil,fluid
Vegetable oil,liquid-vegetable-oil,fluid
Fermentation base,liquid-fermentation-raw,fluid
Acetic acid,liquid-acetic-acid,fluid
Acetic anhydride,liquid-acetic-anhydride,fluid
Ethanol gas,gas-ethanol,fluid
Cellulose acetate mixture,liquid-cellulose-acetate-mixture,fluid
Cellulose acetate,liquid-cellulose-acetate,fluid
Propionic acid,liquid-propionic-acid,fluid
Artificial fish water,liquid-fish-atmosphere,fluid
Polluted artificial fish water,liquid-polluted-fish-atmosphere,fluid
Raw fish oil,liquid-raw-fish-oil,fluid
Fish oil,liquid-fish-oil,fluid
Artificial puffer atmosphere,gas-puffer-atmosphere,fluid
Alien spores,alien-spores,fluid
Alien goo,alien-goo,fluid
Alien acid fluid,alien-acid,fluid
Alien explosive fluid,alien-explosive,fluid
Alien poison fluid,alien-poison,fluid
Alien flame fluid,alien-fire,fluid
