id,name,description,price,category
bee_harlequin_queen,Harlequin Queen,Harlequin Queen,,craftingMaterial
bee_harlequin_youngQueen,Young Harlequin Queen,Harlequin Young Queen,,craftingMaterial
bee_honey_drone,Honey Drone,Honey Drone,,craftingMaterial
bee_honey_queen,Honey Queen,Honey Queen,,craftingMaterial
bee_honey_youngQueen,Young Honey Queen,Honey Young Queen,,craftingMaterial
bee_inventor_drone,Inventor Drone,Inventor Drone,,craftingMaterial
bee_inventor_queen,Inventor Queen,Inventor Queen,,craftingMaterial
bee_inventor_youngQueen,Young Inventor Queen,Inventor Young Queen,,craftingMaterial
bee_isovapitdae_drone,Isovapitdae Drone,Isovapitdae Drone,,craftingMaterial
bee_isovapitdae_queen,Isovapitdae Queen,Isovapitdae Queen,,craftingMaterial
bee_isovapitdae_youngQueen,Young Isovapitdae Queen,Isovapitdae Young Queen,,craftingMaterial
bee_leafcutter_drone,Leafcutter Drone,Leafcutter Drone,,craftingMaterial
bee_leafcutter_queen,Leafcutter Queen,Leafcutter Queen,,craftingMaterial
bee_leafcutter_youngQueen,Young Leafcutter Queen,Leafcutter Young Queen,,craftingMaterial
bee_loamzipper_drone,Loamzipper Drone,Loamzipper Drone,,craftingMaterial
bee_loamzipper_queen,Loamzipper Queen,Loamzipper Queen,,craftingMaterial
bee_loamzipper_youngQueen,Young Loamzipper Queen,Loamzipper Young Queen,,craftingMaterial
bee_mason_drone,Mason Drone,Mason Drone,,craftingMaterial
bee_mason_queen,Mason Queen,Mason Queen,,craftingMaterial
bee_mason_youngQueen,Young Mason Queen,Mason Young Queen,,craftingMaterial
bee_orchid_drone,Orchid Drone,Orchid Drone,,craftingMaterial
bee_orchid_queen,Orchid Queen,Orchid Queen,,craftingMaterial
bee_orchid_youngQueen,Young Orchid Queen,Orchid Young Queen,,craftingMaterial
bee_oremason_drone,Ore Mason Drone,Ore Mason Drone,,craftingMaterial
bee_oremason_queen,Ore Mason Queen,Ore Mason Queen,,craftingMaterial
bee_oremason_youngQueen,Young Ore Mason Queen,Ore Mason Young Queen,,craftingMaterial
bee_plasterer_drone,Plasterer Drone,Plasterer Drone,,craftingMaterial
bee_plasterer_queen,Plasterer Queen,Plasterer Queen,,craftingMaterial
bee_plasterer_youngQueen,Young Plasterer Queen,Plasterer Young Queen,,craftingMaterial
bee_reaper_drone,Reaper Drone,Reaper Drone,,craftingMaterial
bee_reaper_queen,Reaper Queen,Reaper Queen,,craftingMaterial
bee_reaper_youngQueen,Young Reaper Queen,Reaper Young Queen,,craftingMaterial
bee_redbanded_drone,Red-Banded Drone,Red-Banded Drone,,craftingMaterial
bee_redbanded_queen,Red-Banded Queen,Red-Banded Queen,,craftingMaterial
bee_redbanded_youngQueen,Young Red-Banded Queen,Red-Banded Young Queen,,craftingMaterial
bee_rimewing_drone,Rimewing Drone,Rimewing Drone,,craftingMaterial
bee_rimewing_queen,Rimewing Queen,Rimewing Queen,,craftingMaterial
bee_rimewing_youngQueen,Young Rimewing Queen,Rimewing Young Queen,,craftingMaterial
bee_sandprowler_drone,Sandprowler Drone,Sandprowler Drone,,craftingMaterial
bee_sandprowler_queen,Sandprowler Queen,Sandprowler Queen,,craftingMaterial
bee_sandprowler_youngQueen,Young Sandprowler Queen,Sandprowler Young Queen,,craftingMaterial
bee_scoria_drone,Scoria Drone,Scoria Drone,,craftingMaterial
bee_scoria_queen,Scoria Queen,Scoria Queen,,craftingMaterial
bee_scoria_youngQueen,Young Scoria Queen,Scoria Young Queen,,craftingMaterial
bee_shrouded_drone,Shrouded Drone,Shrouded Drone,,craftingMaterial
bee_shrouded_queen,Shrouded Queen,Shrouded Queen,,craftingMaterial
bee_shrouded_youngQueen,Young Shrouded Queen,Shrouded Young Queen,,craftingMaterial
bee_squash_drone,Squash Drone,Squash Drone,,craftingMaterial
bee_squash_queen,Squash Queen,Squash Queen,,craftingMaterial
bee_squash_youngQueen,Young Squash Queen,Squash Young Queen,,craftingMaterial
bee_stalwart_drone,Stalwart Drone,Stalwart Drone,,craftingMaterial
bee_stalwart_queen,Stalwart Queen,Stalwart Queen,,craftingMaterial
bee_stalwart_youngQueen,Young Stalwart Queen,Stalwart Young Queen,,craftingMaterial
bee_stellar_drone,Stellar Drone,Stellar Drone,,craftingMaterial
bee_stellar_queen,Stellar Queen,Stellar Queen,,craftingMaterial
bee_stellar_youngQueen,Young Stellar Queen,Stellar Young Queen,,craftingMaterial
bee_sweat_drone,Sweat Drone,Sweat Drone,,craftingMaterial
bee_sweat_queen,Sweat Queen,Sweat Queen,,craftingMaterial
bee_sweat_youngQueen,Young Sweat Queen,Sweat Young Queen,,craftingMaterial
bee_tunguskudae_drone,Tunguskudae Drone,Tunguskudae Drone,,craftingMaterial
bee_tunguskudae_queen,Tunguskudae Queen,Tunguskudae Queen,,craftingMaterial
bee_tunguskudae_youngQueen,Young Tunguskudae Queen,Tunguskudae Young Queen,,craftingMaterial
bee_xenodaemonae_drone,Xenodaemonae Drone,Xenodaemonae Drone,,craftingMaterial
bee_xenodaemonae_queen,Xenodaemonae Queen,Xenodaemonae Queen,,craftingMaterial
bee_xenodaemonae_youngQueen,Young Xenodaemonae Queen,Xenodaemonae Young Queen,,craftingMaterial
aegisaltcomb,Recombinant Honeycomb,A honeycomb with strange properties that can provide great healing.,,food
arcticcomb,Arctic Honeycomb,A frozen honeycomb! Eat it!,,food
aridcomb,Arid Honeycomb,A sandy honeycomb.,,food
coppercomb,Copper Honeycomb,This honeycomb has high copper content.,,food
durasteelcomb,Durasteel Honeycomb,A honeycomb made of solid durasteel.,,food
eldercomb,Rotcomb,Laced with unusual chemicals. Extremely psychotropic.,,food
feroziumcomb,Reaper Honeycomb,"Possesses a meaty taste that resembles pork, and is rich with red honey.",,food
flowercomb,Floral Honeycomb,An aromatic honeycomb. Low grade healing.,,food
forestcomb,Forest Honeycomb,A delicious forest honeycomb! Low grade healing.,,food
ironcomb,Iron Honeycomb,This honeycomb has high iron contents. Increases armor when eaten.,,food
magmacomb,Fiery Honeycomb,This honeycomb is on fire. Try using it in an industrial centrifuge! Great fire proofing when eaten.,,food
minercomb,Earthen Honeycomb,This earthy comb increases max health by 25%,,food
mooncomb,Moon Honeycomb,A honeycomb with unusual gravitational abilities if consumed.,,food
morbidcomb,Harlequin Honeycomb,A honeycomb that contains strong anti-shadow properties.,,food
mythicalcomb,Stellar Honeycomb,A comb that is said to be infused with mystical healing energy.,,food
nocturnalcomb,Shrouded Honeycomb,Cosmic antimatter energy infuses this comb. Grants Shadow Taint immunity.,,food
plutoniumcomb,Plutonium Honeycomb,"RADIOACTIVE! DO NOT EAT!
+2 Fuel",,food
preciouscomb,Crystalline Honeycomb,A glittering honeycomb with small particles of pure crystal within.,,food
radioactivecomb,Radioactive Honeycomb,"RADIOACTIVE! DO NOT EAT!
+1 Fuel",,food
redcomb,Red Honeycomb,A delicious red honeycomb. Smells like meat.,,food
silkcomb,Silk Honeycomb,"This honeycomb is packed full of silk. Not tasty, but still medicinal.",,food
silvercomb,Silver Honeycomb,This honeycomb has high silver contents. Great poison resistance.,,food
solariumcomb,Solarium Honeycomb,"RADIOACTIVE! DO NOT EAT!
+4 Fuel",,food
suncomb,Solar Honeycomb,"Too hot for the honey extractor.
+10 Fuel",,food
titaniumcomb,Titanium Honeycomb,This honeycomb has high titanium contents. Increases electric resistance,,food
tungstencomb,Tungsten Honeycomb,This honeycomb has high tungsten contents. Increases protection.,,food
violiumcomb,Violium Honeycomb,A honeycomb with high violium contents. Increases energy max.,,food
volcaniccomb,Volcanic Honeycomb,A volcanic honeycomb. Try placing it in a centrifuge! Good fire proofing.,,food
apiary_frame_basic,Basic Frame,Basic frame for an apiary.,,craftingMaterial
beeflowerhead,Bee Flower Head,The head of a Bee flower. Contains traces of anti-mite poison!,,craftingMaterial
fu_byosfleshship,S.S.D (Kevin's Flesher (tm)),Use this on your ship to upload the ship data to S.A.I.L making it able to be used by new characters.,1000,fu_byosShipUnlock
crewcontract_agaran,Agaran Sellsword Contract,Hires an Agaran sellsword to fight alongside you. Gives 10% poison resistance.,2000,crewcontract
crewcontract_arctic,Arctic Contract,Hires an arctic explorer that provides 30% Cold resistance and reduces ship fuel costs by 8%.,0,crewcontract
crewcontract_biohazard,Biohazard Contract,"Hires a Biohazard specialist. Provides 30% Radiation resistance, and increase your ship's fuel capacity by 340.",0,crewcontract
crewcontract_bountyhunter,Bounty Contract,Hires a lethal bounty hunter that talks loudly and carries a big gun.,0,crewcontract
crewcontract_chef,Chef Contract,Hires an apprentice chef to keep you slightly fed and reduce fuel costs by 2%.,0,crewcontract
crewcontract_chef3,Sous Chef Contract,Hires a Sous Chef to keep you stuffed and reduce fuel costs by 6%.,0,crewcontract
crewcontract_chemistblue,Chemist-A Contract,Hires a chemist that boosts your jump power.,0,crewcontract
crewcontract_chemistgreen,Chemist-B Contract,Hires a chemist that increases your speed.,0,crewcontract
crewcontract_chemistorange,Chemist-C Contract,Hires a chemist that gives you free rage-drugs. Sweet.,0,crewcontract
crewcontract_chemistyellow,Chemist-D Contract,Hires a chemist that helps you see in the dark.,0,crewcontract
crewcontract_collector,Collector Contract,Loves to hurl his balls at things until they crawl inside. Also provides a 2% fuel cost reduction and a useful Thorns effect.,0,crewcontract
crewcontract_counsellor,Counsellor Contract,Counsellor are quite useful - they can keep madness at bay! They also provide 2% reduced fuel cost.,0,crewcontract
crewcontract_counsellor2,Ship Psychologist Contract,Mental health expert. Reduces madness effects up to 40%. Reduces fuel costs by 2%.,0,crewcontract
crewcontract_counsellor3,Ship Psychiatrist Contract,Master brain-healer-guy. Reduces madness effects up to 65%. Reduces fuel costs by 2%.,0,crewcontract
crewcontract_cultist,Cultist Contract,Hires a flesh-hungry cultist. Increases max ship fuel by 150 and provides Insanity Immunity and Moderate Poison Protection.,0,crewcontract
crewcontract_cyborg,Cyborg Contract,"Hires a deadly cyborg. Reduces ship mass by 10%, increases ship speed by 1.25 and grants Aether Immunity.",0,crewcontract
crewcontract_engineer,Engineer Contract,Hires an engineer to increase ship speed by 3.75 and reduce fuel costs by 10%.,0,crewcontract
crewcontract_engineer2,Engineer II Contract,"Provides 20% reduced fuel costs, and +3.75 ship speed.",0,crewcontract
crewcontract_fubees,Beeguy Contract,BZZ BZZZ! BEE ENGINES PROVIDE 2 SHIP SPEED! BEES DON'T STING,0,crewcontract
crewcontract_fuhunter,Hunter Contract,"Hires a hunter. Provides Burning, Proto Poison, jungle and mud slow immmunities.",0,crewcontract
crewcontract_fullama,Alpaca Contract,Hires a tough Alpaca warrior.,0,crewcontract
crewcontract_gas,Gas Specialist Contract,Hires a gas specialist to boost max ship fuel by 200 and grant Gas Immunity.,0,crewcontract
crewcontract_geologist,Geologist Contract,Sells useful resources.,0,crewcontract
crewcontract_ghostbuster,Ghostbuster Contract,"Hires a Ghostbuster. Provides Immunity to Erchius Ghosts, and increase your ship's fuel capacity by 340.",0,crewcontract
crewcontract_guardian,Guardian Contract,Impressive defensive crewmate. Provides a massive Defense Boost and 5% increased fuel efficiency.,0,crewcontract
crewcontract_hobo,Hobo Contract,"Hires... a homeless guy that pukes on things. Increases max fuel by 250, but constantly makes you drunk.",0,crewcontract
crewcontract_janitor,Custodian Contract,Has a mop. Sweeps. Reduces ship mass by 10%.,0,crewcontract
crewcontract_kirhoshacker,Kirhosi Hacker Contract,"Hire a Kirhosi Hacker on the run from the law, to increase ship speed by 3.75, grant 30% Electric resistance and protection from electrical storms.",0,crewcontract
crewcontract_magicalgirl,Magical Girl Contract,"A magic girl with a staff. Provides Shadow Taint and Caliginous Gas Immunity, and 5% reduced fuel costs.",0,crewcontract
crewcontract_mechanic,Mechanic Contract,Hires a mechanic to reduce ship mass by 20% and fuel costs by 10%.,0,crewcontract
crewcontract_mechanic2,Mechanic II Contract,Reduces fuel costs by 20% and decreases ship mass by 20%.,0,crewcontract
crewcontract_medic,Medic Contract,Hires a medic to help keep you alive and kicking.,0,crewcontract
crewcontract_medic2,Medic Contract II,"Hires a combat medic to help keep you alive and kicking. Heals more quickly, but less on-ship regen.",0,crewcontract
crewcontract_metalhead,80s Metalhead Contract,Dude. 4% reduced fuel costs. Rock on.,0,crewcontract
crewcontract_oceanographer,Oceanographer Contract,"Hires an Oceanographer to help you swim much faster, and provides Lava and Liquid Nitrogen immunity.",0,crewcontract
crewcontract_outlaw,Outlaw Contract,Hires a ruthless outlaw companion.,0,crewcontract
crewcontract_plur,PLUR Contract,"The danciest companion in the universe, with booze and 4% reduced fuel costs.",0,crewcontract
crewcontract_precursor,Precursor Drone Control Chip,"The control chip for a Precursor Drone, able to increase fuel efficiency by 10%, protect you with 30% Shadow resistance and Shadow Taint immunity, and grant +3 passive research.",0,crewcontract
crewcontract_radien,X'ian Explorer Contract,"Hires a unique, powerful crew member that provides a 20% reduction to fuel costs and Extreme Radiation Immunity",0,crewcontract
crewcontract_researcher,Researcher Contract,Hires a field researcher to take notes on the worlds you explore. +1 passive research - doesn't stack.,0,crewcontract
crewcontract_sciencedrug,Drug Specialist Contract,"Hires a drug specialist to increase jump height and speed, and reduces your ship's fuel costs by 5%.",0,crewcontract
crewcontract_scuba,Scuba Contract,Hires a Marine Biologist to help you swim faster.,0,crewcontract
crewcontract_stealth,Assassin Contract,"Hires a deadly assassin. Grants Poison and Bio Ooze Immunity, and 160 ship maximum fuel.",0,crewcontract
crewcontract_tailor,Tailor Contract,Hires a tailor to keep your crew looking great.,0,crewcontract
crewcontract_volcanologist,Volcanologist Contract,Hires a volcanologist to provide 30% Fire resistance and reduce ship mass by 20%.,0,crewcontract
crewcontract_warrior,Warrior Contract,Hires an inexperienced warrior to fight alongside you.,0,crewcontract
crewcontract_warrior2,Veteran Contract,Hires an experienced warrior to fight alongside you.,0,crewcontract
crewcontract_warrior3,General Contract,Hires a hardened general to fight at your side.,0,crewcontract
profishingrod,Pro Fishing Rod,A pro-level rod with long line length and fast reeling time. Also durable.,1500,fishingRod
crystallight,Crystal Light,"Shining, shimmering splendour",,tool
lanterror,Ghost Lantern,Said to repel moon ghosts and punish those who harm you.,1000,tool
lanterrortreasuretrollking,Khe's Ghost Lantern,"It's covered in what appears to be drool, and rustles when you shake it.",1500,tool
tacticalmug,Tacti-Cool Mug,Infinite Beer + Flashlight. What could be better?,,tool
fossilbrushhammer,Fossil Hammer,"Not at all precise, but smacks stone well!",70,tool
fossilbrushultra,Microparticle Brush,Impossibly precise.,700,tool
fuautohookshot,Hookshot,It pulls you up automatically! Upgrade using your Tricorder.,200,hookshot
fuautohookshot4,Launch Hookshot,You cheated to get this. You're a butthole.,11200,Tool
precursorhookshot,Precursor Hookshot,Be careful not to get whiplash.,11200,Tool
eldergrappler,Elder Hook,A grappling hook dripping with...stuff. Has strange properties.,3000,Tool
iceaxe,Ice Axe,Useful for extremely short-ranged grappling. Survival tool. Can also do 5 damage.,120,Tool
iceaxe2,Bloodhook,Short-ranged grapple. Regenerates health when attached. Improves healing.,120,Tool
lasherhook2,Lasher Hook II,A more advanced lasher hook that also deals more damage. Weighted.,3000,Tool
radienhook,X'ian Grapple Vine,A useful genetic trick of the X'i.,2,Tool
tethersnap,Nano-Tether,"An amazing grappler. Use carefully, as it is very fast.",3000,Tool
tethersnap2,Energy Tether,An amazing grappler that regenerates your energy when extended.,3000,Tool
tethersnap3,Shadow Line,Siphons light and converts it to food when extended.,3000,Tool
websnapper,Web Shooter,"Well, that's pretty useful. And a bit horrifying. Weighted.",3000,Tool
fu_t10_apex_mission2beacon,Beacon: Dark Miniknog,"Teleports the user to the Dark Miniknog Stronghold in the Nightmare World.
Environmental Hazards:
Tropical Humidity
Extreme Poison
Extreme Maddening Atmosphere",1000,tool
fu_t10_avian_mission2beacon,Beacon: Dark Sovereign,"Teleports the user to the Dark Sovereign Temple in the Nightmare World.
Environmental Hazards:
Impossibly Acidic Atmosphere
Deadly Desert Heat
Maddening Atmosphere",1000,tool
fu_t10_floranarena1beacon,Beacon: Bronze Arena,"Teleports the user to the Bronze Arena in the Nightmare World.
Environmental Hazards:
Unyielding Madness",1000,tool
fu_t10_floranarena2beacon,Beacon: Silver Arena,"Teleports the user to the Silver Arena in the Nightmare World.
Environmental Hazards:
Unyielding Madness",1000,tool
fu_t10_floranarena3beacon,Beacon: Gold Arena,"Teleports the user to the Gold Arena in the Nightmare World.
Environmental Hazards:
Unyielding Madness",1000,tool
fu_t10_floran_mission2beacon,Beacon: Dark Hunting,"Teleports the user to the the Dark Hunting Grounds in the Nightmare World.
Environmental Hazards:
Tropical Humidity
Extreme Heat
Maddening Atmosphere",1000,tool
fu_t10_gaterepairbeacon,Beacon: Dark Cave,"Teleports the user to the Dark Cave Dungeon in the Nightmare World.
Environmental Hazards:
Maddening Atmosphere",1000,tool
fu_t10_glitch_mission2beacon,Beacon: Dark Keep,"Teleports the user to the Dark Glitch Keep in the Nightmare World.
Environmental Hazards:
Extreme Electrical Storms
Extreme Radiation
Extreme Aetheric Atmosphere
Maddening Atmosphere",1000,tool
fu_t10_human_mission1beacon,Beacon: Dark Erchius,"Teleports the user to the Dark Erchius Mining Facility in the Nightmare World.
Environmental Hazards:
Maddening Atmosphere",1000,tool
fu_t10_hylotl_mission2beacon,Beacon: Dark Library,"Teleports the user to the Dark Pagoda Library in the Nightmare World.
Environmental Hazards:
Extreme Cold
Maddening Atmosphere",1000,tool
fu_t10_precursorbeacon,Beacon: Dark Precursor,"Teleports the user to the Dark Precursor Ruins in the Nightmare World.
Environmental Hazards:
Extreme Electrical Storms
Extreme Radiation
Maddening Atmosphere",1000,tool
fumementomori,Crystalline Skull,This mysterious skull leads you to the site of your most recent demise. [ Hold Button ] to teleport. Will consume skull.,0,Tool
pandorasboxmonsterfieldguide,Monster Field Guide,"[Arrow Keys] - Navigate options, [Space or Enter] - Select options",500,
floatleaf,X'ian Floatbulb,Open to gently float while falling.,1,tool
fuapexblueprinta,Apex Schematics (Energy),The blueprints for energetic Apex armour.,4500,Blueprint
fuapexblueprintm,Apex Schematics (Power),The blueprints for potent Apex armour.,4500,Blueprint
fuapexblueprints,Apex Schematics (Health),The blueprints for sturdy Apex armour.,4500,Blueprint
fuavianblueprinta,Avian Schematics (Energy),The blueprints for energetic Avian armour.,4500,Blueprint
fuavianblueprintm,Avian Schematics (Power),The blueprints for potent Avian armour.,4500,Blueprint
fuavianblueprints,Avian Schematics (Health),The blueprints for sturdy Avian armour.,4500,Blueprint
fufloranblueprinta,Floran Schematics (Energy),The blueprints for energetic Floran armour.,4500,Blueprint
fufloranblueprintm,Floran Schematics (Power),The blueprints for potent Floran armour.,4500,Blueprint
fufloranblueprints,Floran Schematics (Health),The blueprints for sturdy Floran armour.,4500,Blueprint
fuglitchblueprinta,Glitch Schematics (Energy),The blueprints for energetic Glitch armour.,4500,Blueprint
fuglitchblueprintm,Glitch Schematics (Power),The blueprints for potent Glitch armour.,4500,Blueprint
fuglitchblueprints,Glitch Schematics (Health),The blueprints for sturdy Glitch armour.,4500,Blueprint
fuhumanblueprinta,Human Schematics (Energy),The blueprints for energetic Human armour.,4500,Blueprint
fuhumanblueprintm,Human Schematics (Power),The blueprints for potent Human armour.,4500,Blueprint
fuhumanblueprints,Human Schematics (Health),The blueprints for sturdy Human armour.,4500,Blueprint
fuhylotlblueprinta,Hylotl Schematics (Energy),The blueprints for energetic Hylotl armour.,4500,Blueprint
fuhylotlblueprintm,Hylotl Schematics (Power),The blueprints for potent Hylotl armour.,4500,Blueprint
fuhylotlblueprints,Hylotl Schematics (Health),The blueprints for sturdy Hylotl armour.,4500,Blueprint
funovakidblueprinta,Novakid Schematics (Energy),The blueprints for energetic Novakid armour.,1000,Blueprint
funovakidblueprintm,Novakid Schematics (Power),The blueprints for potent Novakid armour.,1000,Blueprint
funovakidblueprints,Novakid Schematics (Health),The blueprints for sturdy Novakid armour.,1000,Blueprint
npcbotpod,Filled Capture Pod,Throw it down to release the creature captured inside!,,throwableItem
bugnet2,Superior Bug Net,"A net for catching bugs! Faster than the wooden one, with less delay!",20,Tool
easyvoxel10k,10k Voxel (EZ),10000 pixels compressed into a voxel. Now with easy decompress.,10000,currency
easyvoxel1k,1k Voxel (EZ),1000 pixels compressed into a voxel. Now with easy decompress.,1000,currency
easyvoxel2k,2k Voxel (EZ),2000 pixels compressed into a voxel. Now with easy decompress.,2000,currency
easyvoxel5k,5k Voxel (EZ),5000 pixels compressed into a voxel. Now with easy decompress.,5000,currency
npccultistscandroidcapturepod,Filled Capture Pod,Throw it down to release the creature captured inside!,,throwableItem
fumysterioustrashbag,Mysterious Trash Bag,This feels both firm and squishy to the touch. What could it be?,0,Disturbing Object
fuorangebag,Bag of Oranges,"It's quite heavy, must be a lot of oranges!",2000,mysteriousReward
fukhestreakerrewardbag,'Perfect Outfit' Box,A box from Khe containing 'the most perfect outfit ever'. Looks suspiciously empty.,1500,mysteriousReward
fusuperrewardbag,Space-Time Crystal,Broken off from a Space-Time Obelisk. Use to open its trans-dimensional storage.,0,mysteriousReward
fu_defaultunlockdiagnoser,Default Unlock Checker,Use to check if you have any missing default unlocks. Prints items that could be causing the issue to the log.,0,Tool
fu_lootbox,Loot Box,Click a gift box to select reward category.,2000,^green;Now just $19.95!^reset;
fu_monsterdetector,Monster Detector,Reveals nearby monsters.,1,Tool
fu_monsterinspector,Monster Inspector,Inspects monsters.,800,Tool
cuddlehorse,Transmutation Matrix,A single use kit for upgrading a single piece of equipment.,1200,itemUpgrader
gyrostabilizer,Gyrostabilizer,Capable of stopping inertia completely for a brief moment.,12000,tool
beachscene,A Beach Photograph,"A picture of you on a beach, dated 600 years ago. On the horizon, a misty figure stands. It emanates cold malice.",1000,unusualRelic
bizarreerotica,Bizarre Erotica,A book that pairs a sapient being with a random mythological creature.,80,You're a creep.
bizarrefiction,Bizarre Fiction,Weird fiction that is completely bonkers.,80,Pulp Fiction
blindingenvelope,Blinding Envelope,"Any time you glance at it, you are blinded for a moment.",1000,unusualRelic
bloodritual,Blood Ritual,Channel the Old Ones thoughts into your mind.,2030,Great At Parties
bloodyfinger,A Bloody Finger,It looks identical to your index finger.,1000,unusualRelic
booksaboutbees,All About Bees,This is the Bee Movie script. Over and over again.,280,Dr.Beeman's Bees
candleofstench,Stench Candle,"Smells exactly like corpses, and your grandfathers house.",1000,unusualRelic
carving,Strange Carving,"This symbol tingles your memories, but you can't quite place where you've seen it.",23,unusualRelic
chipotle,A Chipotle Coupon (2 for $24.99),The fact that this place still exists is maddening.,1000,unusualRelic
madcomb,A Comb,This comb exudes unimaginable menace.,1000,unusualRelic
crayonoflies,Crayon of Lies,Anything written or drawn with it is a lie.,1000,unusualRelic
fuMadnessVoxelItem,Odd Glyph,"A strange language is carved around the edge of this disk, whispering into your mind.",999,resourceItem
impossibletheories,Impossible Theories,"Flying in the face of reason, this book of your theories is utterly insane.",80,unusualRelic
insaneramblings,Insane Notes,Your lab notes. Thoroughly nutters.,23,Work of a Genius
lawbook,Law and Order,A law book that encourages committing arson.,1000,unusualRelic
madequation,Unimaginable Equations,This math is so outlandish as to be offensive. It's also *right*.,1200,unusualRelic
madmask,Creepy Mask,This unsettling mask it eerily cheery. It gazes back.,1000,unusualRelic
madnesstoken,Strange Glyph,"A strange language is carved around the edge of this disk, whispering into your mind.",1000,resourceItem
madnesstoken2,Unknown Artifact,"You have no idea what deity these markings praise, but it isn't pretty.",5000,resourceItem
madnesstoken3,Glowing Glyph,Crackling with horrible energy and malign promise. Edible.,10000,resourceItem
madness_knowledge,Forgotten Knowledge,"Strange experiments long forgotten, involving bizarre devices and theories.",1000,unusualRelic
madstatue,Strange Statue,"The angles of this carving are all wrong, making you violently hallucinate.",1000,unusualRelic
mapofdreamland,Map of the Dreamlands,Gazing at this hurts your brain.,1000,unusualRelic
mirrormirror,Mirror of Vision,Reflects only things you hate.,1000,unusualRelic
motedust,Confusing Dust,A mote of dust that just won't stop following you.,1000,unusualRelic
mysteriousparcel,Mysterious Parcel,Post-marked directly to you at your current location. No return-to-sender. Origin unknown.,10,mysteriousReward
sharpenedmouse,A Sharpened Mouse,A rather unusual choice in weaponry.,1000,unusualRelic
stickoftruth,Stick of Truth,A mere glance at this compels you to be truthful.,1000,unusualRelic
terracottastatue,A Terracotta Bust,"Whatever being this represents is unknown, but it chills you.",1000,unusualRelic
threecoins,Three Coins,"No matter how much you try, they cannot be spent.",1000,unusualRelic
tonsil,A Good Luck Tonsil,"So long as you hold this, the deceased have great luck.",1000,unusualRelic
